topic,key,t_s,value
/control/diagnostics,cycle_time_ms,60.74,0.0
/control/diagnostics,cycle_time_ms,60.76,0.0
/control/diagnostics,cycle_time_ms,60.78,0.0
/control/diagnostics,cycle_time_ms,60.8,0.0
/planning/diagnostics,cycle_ms,60.805,10.042931
/control/diagnostics,cycle_time_ms,60.82,0.0
/control/diagnostics,cycle_time_ms,60.84,0.0
/control/diagnostics,cycle_time_ms,60.86,0.0
/control/diagnostics,cycle_time_ms,60.88,0.0
/control/diagnostics,cycle_time_ms,60.9,0.0
/planning/diagnostics,cycle_ms,60.903,10.167914
/control/diagnostics,cycle_time_ms,60.92,0.0
/control/diagnostics,cycle_time_ms,60.94,0.0
/control/diagnostics,cycle_time_ms,60.96,0.0
/control/diagnostics,cycle_time_ms,60.98,0.0
/control/diagnostics,cycle_time_ms,61.0,0.0
/planning/diagnostics,cycle_ms,61.006,8.876508
/control/diagnostics,cycle_time_ms,61.02,0.0
/control/diagnostics,cycle_time_ms,61.04,0.0
/perception/diagnostics,ground_ms,61.0,2.845742
/perception/diagnostics,cluster_ms,61.0,4.079961
/perception/diagnostics,fit_ms,61.0,1.56435
/perception/diagnostics,track_ms,61.0,0.1187
/perception/diagnostics,total_ms,61.0,8.775283
/control/diagnostics,cycle_time_ms,61.06,0.0
/control/diagnostics,cycle_time_ms,61.08,0.0
/control/diagnostics,cycle_time_ms,61.1,0.0
/planning/diagnostics,cycle_ms,61.106,10.158794
/control/diagnostics,cycle_time_ms,61.12,0.0
/control/diagnostics,cycle_time_ms,61.14,0.0
/control/diagnostics,cycle_time_ms,61.16,0.0
/control/diagnostics,cycle_time_ms,61.18,0.0
/control/diagnostics,cycle_time_ms,61.2,0.0
/planning/diagnostics,cycle_ms,61.207,10.328289
/control/diagnostics,cycle_time_ms,61.22,0.0
/control/diagnostics,cycle_time_ms,61.24,0.0
/control/diagnostics,cycle_time_ms,61.26,0.0
/control/diagnostics,cycle_time_ms,61.28,0.0
/control/diagnostics,cycle_time_ms,61.3,0.0
